# /8 first-octet to ISO-3166 country code map.
# Sourced from RIR allocation data; only covers first octet (high accuracy for traffic originating from major cloud / ISP blocks).
# Format: <first_octet>,<ISO-3166-alpha2>
# Lines starting with '#' are comments; missing octets default to "XX" (unknown).
1,AU
2,FR
3,US
4,US
5,GB
6,US
7,US
8,US
9,US
10,US
11,US
12,US
13,US
14,AU
15,US
16,US
17,US
18,US
20,US
21,US
22,US
23,US
24,US
25,GB
26,US
27,JP
28,US
29,US
31,DE
32,US
34,US
35,US
36,CN
37,DE
38,CA
39,IT
40,US
41,ZA
42,KR
43,JP
44,AU
45,AR
46,RU
47,US
49,CN
50,US
51,GB
52,US
54,US
55,US
56,US
57,FR
58,KR
59,JP
60,AU
61,AU
62,DE
63,US
64,US
65,US
66,US
67,CA
68,US
69,US
70,US
71,US
72,US
73,US
74,US
75,US
76,US
77,GB
78,DE
79,SE
80,DE
81,GB
82,RU
83,DE
84,GB
85,GB
86,GB
87,DE
88,DE
89,GB
90,FR
91,FR
92,GB
93,GB
94,NL
95,NL
96,US
97,US
98,CA
99,US
100,US
101,AU
102,ZA
103,IN
104,US
105,ZA
106,IN
107,US
108,US
109,RU
110,KR
111,KR
112,KR
113,VN
114,KR
115,KR
116,IN
117,IN
118,IN
119,KR
120,CN
121,CN
122,CN
123,CN
124,CN
125,CN
126,JP
127,US
128,US
129,US
130,US
131,US
132,US
133,JP
134,CN
135,US
136,US
137,US
138,US
139,US
140,CN
141,DE
142,CA
143,BR
144,BR
145,CL
146,BR
147,CL
148,MX
149,AR
150,CN
151,IT
152,DE
153,JP
154,DE
155,DE
156,US
157,US
158,DE
159,US
160,JP
161,US
162,US
163,US
164,IN
165,US
166,US
167,IN
168,US
169,US
170,US
171,IN
172,US
173,US
174,US
175,US
176,DE
177,BR
178,DE
179,BR
180,JP
181,AR
182,CN
183,CN
184,CN
185,FR
186,FR
187,BR
188,DE
189,BR
190,MX
191,NL
192,US
193,DE
194,NL
195,FR
196,NG
197,EG
198,US
199,US
200,BR
201,BR
202,JP
203,AU
204,US
205,US
206,US
207,CA
208,US
209,US
210,KR
211,KR
212,RU
213,RU
214,RU
215,RU
216,US
217,GB
218,JP
219,CN
220,CN
221,KR
222,CN
223,ID
224,BR
225,US
226,CA
227,US
228,US
229,US
230,FR
231,FR
232,US
233,US
234,US
235,GB
236,NO
237,NO
238,DK
239,DK
240,NO
241,SE
242,SE
243,SE
244,FI
245,FI
246,IS
247,SE
248,SE
249,RU
250,RU
251,RU
252,RU
253,RU
254,RU
255,XX
